left,top,right,bottom,id,NUMPOINTS
-39.6166679999999971,-8.5332229999999996,-38.6166679999999971,-9.5332229999999996,"71","0"
-39.6166679999999971,-9.5332229999999996,-38.6166679999999971,-10.5332229999999996,"72","0"
-39.6166679999999971,-10.5332229999999996,-38.6166679999999971,-11.5332229999999996,"73","0"
-39.6166679999999971,-11.5332229999999996,-38.6166679999999971,-12.5332229999999996,"74","0"
-39.6166679999999971,-12.5332229999999996,-38.6166679999999971,-13.5332229999999996,"75","0"
-39.6166679999999971,-13.5332229999999996,-38.6166679999999971,-14.5332229999999996,"76","0"
-39.6166679999999971,-14.5332229999999996,-38.6166679999999971,-15.5332229999999996,"77","0"
-39.6166679999999971,-15.5332229999999996,-38.6166679999999971,-16.5332229999999996,"78","0"
-39.6166679999999971,-16.5332229999999996,-38.6166679999999971,-17.5332229999999996,"79","0"
-39.6166679999999971,-17.5332229999999996,-38.6166679999999971,-18.5332229999999996,"80","0"
-38.6166679999999971,-8.5332229999999996,-37.6166679999999971,-9.5332229999999996,"81","0"
-38.6166679999999971,-9.5332229999999996,-37.6166679999999971,-10.5332229999999996,"82","0"
-38.6166679999999971,-10.5332229999999996,-37.6166679999999971,-11.5332229999999996,"83","0"
-38.6166679999999971,-11.5332229999999996,-37.6166679999999971,-12.5332229999999996,"84","0"
-38.6166679999999971,-12.5332229999999996,-37.6166679999999971,-13.5332229999999996,"85","0"
-38.6166679999999971,-13.5332229999999996,-37.6166679999999971,-14.5332229999999996,"86","0"
-38.6166679999999971,-14.5332229999999996,-37.6166679999999971,-15.5332229999999996,"87","0"
-38.6166679999999971,-15.5332229999999996,-37.6166679999999971,-16.5332229999999996,"88","3"
-38.6166679999999971,-16.5332229999999996,-37.6166679999999971,-17.5332229999999996,"89","1"
-38.6166679999999971,-17.5332229999999996,-37.6166679999999971,-18.5332229999999996,"90","0"
-37.6166679999999971,-8.5332229999999996,-36.6166679999999971,-9.5332229999999996,"91","0"
-37.6166679999999971,-9.5332229999999996,-36.6166679999999971,-10.5332229999999996,"92","0"
-37.6166679999999971,-10.5332229999999996,-36.6166679999999971,-11.5332229999999996,"93","0"
-37.6166679999999971,-11.5332229999999996,-36.6166679999999971,-12.5332229999999996,"94","0"
-37.6166679999999971,-12.5332229999999996,-36.6166679999999971,-13.5332229999999996,"95","0"
-37.6166679999999971,-13.5332229999999996,-36.6166679999999971,-14.5332229999999996,"96","0"
-37.6166679999999971,-14.5332229999999996,-36.6166679999999971,-15.5332229999999996,"97","0"
-37.6166679999999971,-15.5332229999999996,-36.6166679999999971,-16.5332229999999996,"98","0"
-37.6166679999999971,-16.5332229999999996,-36.6166679999999971,-17.5332229999999996,"99","0"
-37.6166679999999971,-17.5332229999999996,-36.6166679999999971,-18.5332229999999996,"100","0"
