left,top,right,bottom,NUMPOINTS
-46.616667928819865,-8.438833530100688,-46.166217478369411,-8.889283980551138,"0"
-46.166217478369411,-8.438833530100688,-45.715767027918957,-8.889283980551138,"0"
-45.715767027918957,-8.438833530100688,-45.265316577468504,-8.889283980551138,"0"
-45.265316577468504,-8.438833530100688,-44.814866127018050,-8.889283980551138,"0"
-44.814866127018050,-8.438833530100688,-44.364415676567596,-8.889283980551138,"0"
-44.364415676567596,-8.438833530100688,-43.913965226117142,-8.889283980551138,"4"
-43.913965226117142,-8.438833530100688,-43.463514775666688,-8.889283980551138,"0"
-43.463514775666688,-8.438833530100688,-43.013064325216234,-8.889283980551138,"0"
-43.013064325216234,-8.438833530100688,-42.562613874765781,-8.889283980551138,"0"
-42.562613874765781,-8.438833530100688,-42.112163424315327,-8.889283980551138,"0"
-42.112163424315327,-8.438833530100688,-41.661712973864873,-8.889283980551138,"0"
-41.661712973864873,-8.438833530100688,-41.211262523414419,-8.889283980551138,"0"
-41.211262523414419,-8.438833530100688,-40.760812072963965,-8.889283980551138,"0"
-40.760812072963965,-8.438833530100688,-40.310361622513511,-8.889283980551138,"0"
-40.310361622513511,-8.438833530100688,-39.859911172063057,-8.889283980551138,"0"
-39.859911172063057,-8.438833530100688,-39.409460721612604,-8.889283980551138,"0"
-39.409460721612604,-8.438833530100688,-38.959010271162150,-8.889283980551138,"0"
-38.959010271162150,-8.438833530100688,-38.508559820711696,-8.889283980551138,"0"
-38.508559820711696,-8.438833530100688,-38.058109370261242,-8.889283980551138,"0"
-38.058109370261242,-8.438833530100688,-37.607658919810788,-8.889283980551138,"0"
-37.607658919810788,-8.438833530100688,-37.157208469360334,-8.889283980551138,"0"
-46.616667928819865,-8.889283980551138,-46.166217478369411,-9.339734431001588,"0"
-46.166217478369411,-8.889283980551138,-45.715767027918957,-9.339734431001588,"4"
-45.715767027918957,-8.889283980551138,-45.265316577468504,-9.339734431001588,"1"
-45.265316577468504,-8.889283980551138,-44.814866127018050,-9.339734431001588,"0"
-44.814866127018050,-8.889283980551138,-44.364415676567596,-9.339734431001588,"0"
-44.364415676567596,-8.889283980551138,-43.913965226117142,-9.339734431001588,"0"
-43.913965226117142,-8.889283980551138,-43.463514775666688,-9.339734431001588,"0"
-43.463514775666688,-8.889283980551138,-43.013064325216234,-9.339734431001588,"0"
-43.013064325216234,-8.889283980551138,-42.562613874765781,-9.339734431001588,"0"
-42.562613874765781,-8.889283980551138,-42.112163424315327,-9.339734431001588,"0"
-42.112163424315327,-8.889283980551138,-41.661712973864873,-9.339734431001588,"0"
-41.661712973864873,-8.889283980551138,-41.211262523414419,-9.339734431001588,"0"
-41.211262523414419,-8.889283980551138,-40.760812072963965,-9.339734431001588,"0"
-40.760812072963965,-8.889283980551138,-40.310361622513511,-9.339734431001588,"0"
-40.310361622513511,-8.889283980551138,-39.859911172063057,-9.339734431001588,"0"
-39.859911172063057,-8.889283980551138,-39.409460721612604,-9.339734431001588,"0"
-39.409460721612604,-8.889283980551138,-38.959010271162150,-9.339734431001588,"0"
-38.959010271162150,-8.889283980551138,-38.508559820711696,-9.339734431001588,"0"
-38.508559820711696,-8.889283980551138,-38.058109370261242,-9.339734431001588,"0"
-38.058109370261242,-8.889283980551138,-37.607658919810788,-9.339734431001588,"0"
-37.607658919810788,-8.889283980551138,-37.157208469360334,-9.339734431001588,"0"
-46.616667928819865,-9.339734431001588,-46.166217478369411,-9.790184881452038,"0"
-46.166217478369411,-9.339734431001588,-45.715767027918957,-9.790184881452038,"0"
-45.715767027918957,-9.339734431001588,-45.265316577468504,-9.790184881452038,"2"
-45.265316577468504,-9.339734431001588,-44.814866127018050,-9.790184881452038,"14"
-44.814866127018050,-9.339734431001588,-44.364415676567596,-9.790184881452038,"0"
-44.364415676567596,-9.339734431001588,-43.913965226117142,-9.790184881452038,"0"
-43.913965226117142,-9.339734431001588,-43.463514775666688,-9.790184881452038,"0"
-43.463514775666688,-9.339734431001588,-43.013064325216234,-9.790184881452038,"0"
-43.013064325216234,-9.339734431001588,-42.562613874765781,-9.790184881452038,"0"
-42.562613874765781,-9.339734431001588,-42.112163424315327,-9.790184881452038,"0"
-42.112163424315327,-9.339734431001588,-41.661712973864873,-9.790184881452038,"0"
-41.661712973864873,-9.339734431001588,-41.211262523414419,-9.790184881452038,"0"
-41.211262523414419,-9.339734431001588,-40.760812072963965,-9.790184881452038,"0"
-40.760812072963965,-9.339734431001588,-40.310361622513511,-9.790184881452038,"0"
-40.310361622513511,-9.339734431001588,-39.859911172063057,-9.790184881452038,"0"
-39.859911172063057,-9.339734431001588,-39.409460721612604,-9.790184881452038,"0"
