start_scan,end_scan,year,julian_day,hour,minute,flash_lon,flash_lat,geometry
20192971436400,20192971437000,2019,297,14,36,-48.31388,-11.120064,POINT (-48.31388092041016 -11.12006378173828)
20192971436400,20192971437000,2019,297,14,36,-47.135654,-31.072596,POINT (-47.13565444946289 -31.07259559631348)
20192971436400,20192971437000,2019,297,14,36,-44.555145,-12.357838,POINT (-44.55514526367188 -12.35783767700195)
20192971436400,20192971437000,2019,297,14,36,-48.569736,-11.803725,POINT (-48.56973648071289 -11.80372524261475)
20192971436400,20192971437000,2019,297,14,36,-91.83085,24.717299,POINT (-91.83084869384766 24.71729850769043)
20192971436400,20192971437000,2019,297,14,36,-46.888382,-31.076485,POINT (-46.88838195800781 -31.07648468017578)
20192971436400,20192971437000,2019,297,14,36,-46.616394,-31.26635,POINT (-46.61639404296875 -31.26634979248047)
20192971436400,20192971437000,2019,297,14,36,-48.517475,-11.517788,POINT (-48.51747512817383 -11.51778793334961)
20192971436400,20192971437000,2019,297,14,36,-47.101185,-31.03239,POINT (-47.1011848449707 -31.03239059448242)
20192971436400,20192971437000,2019,297,14,36,-44.656975,-9.259685,POINT (-44.65697479248047 -9.259684562683105)
20192971436400,20192971437000,2019,297,14,36,-31.537636,30.631039,POINT (-31.53763580322266 30.63103866577148)
20192971436400,20192971437000,2019,297,14,36,-67.58464,17.542908,POINT (-67.58464050292969 17.54290771484375)
20192971436400,20192971437000,2019,297,14,36,-48.733013,-10.970456,POINT (-48.73301315307617 -10.97045612335205)
20192971436400,20192971437000,2019,297,14,36,-87.35597,23.57625,POINT (-87.35597229003906 23.57625007629395)
20192971436400,20192971437000,2019,297,14,36,-74.480995,14.040252,POINT (-74.48099517822266 14.04025173187256)
20192971436400,20192971437000,2019,297,14,36,-77.2339,13.225871,POINT (-77.23390197753906 13.22587108612061)
20192971436400,20192971437000,2019,297,14,36,-48.212627,-31.657063,POINT (-48.21262741088867 -31.65706253051758)
20192971436400,20192971437000,2019,297,14,36,-61.525715,1.6748371,POINT (-61.52571487426758 1.674837112426758)
20192971436400,20192971437000,2019,297,14,36,-46.833775,-31.042171,POINT (-46.83377456665039 -31.04217147827148)
20192971436400,20192971437000,2019,297,14,36,-61.651085,2.1746776,POINT (-61.65108489990234 2.174677610397339)
20192971436400,20192971437000,2019,297,14,36,-48.72574,-13.049865,POINT (-48.72573852539062 -13.04986476898193)
20192971436400,20192971437000,2019,297,14,36,-48.700447,-11.113803,POINT (-48.70044708251953 -11.11380290985107)
20192971436400,20192971437000,2019,297,14,36,-47.577415,-31.074768,POINT (-47.57741546630859 -31.07476806640625)
20192971436400,20192971437000,2019,297,14,36,-63.180008,-0.5210108,POINT (-63.18000793457031 -0.5210108160972595)
20192971436400,20192971437000,2019,297,14,36,-46.95771,-31.060911,POINT (-46.95771026611328 -31.06091117858887)
20192971436400,20192971437000,2019,297,14,36,-40.49782,25.139578,POINT (-40.49782180786133 25.13957786560059)
20192971436400,20192971437000,2019,297,14,36,-48.016056,-13.507294,POINT (-48.01605606079102 -13.50729370117188)
20192971436400,20192971437000,2019,297,14,36,-44.688896,-7.455164,POINT (-44.68889617919922 -7.455163955688477)
20192971436400,20192971437000,2019,297,14,36,-92.99982,21.291405,POINT (-92.99981689453125 21.29140472412109)
20192971436400,20192971437000,2019,297,14,36,-93.3995,26.188719,POINT (-93.39949798583984 26.18871879577637)
20192971436400,20192971437000,2019,297,14,36,-46.891796,-31.051527,POINT (-46.89179611206055 -31.05152702331543)
20192971436400,20192971437000,2019,297,14,36,-48.143066,-31.637957,POINT (-48.14306640625 -31.6379566192627)
20192971436400,20192971437000,2019,297,14,36,-48.842823,-10.183744,POINT (-48.84282302856445 -10.18374443054199)
20192971436400,20192971437000,2019,297,14,36,-48.48253,-11.978293,POINT (-48.48252868652344 -11.97829341888428)
20192971436400,20192971437000,2019,297,14,36,-45.32364,-8.3572855,POINT (-45.32363891601562 -8.357285499572754)
20192971436400,20192971437000,2019,297,14,36,-46.475105,-8.469945,POINT (-46.47510528564453 -8.469944953918457)
20192971436400,20192971437000,2019,297,14,36,-46.85407,-31.120653,POINT (-46.85406875610352 -31.12065315246582)
20192971436400,20192971437000,2019,297,14,36,-47.40673,-31.064383,POINT (-47.40673065185547 -31.06438255310059)
20192971436400,20192971437000,2019,297,14,36,-63.99207,1.9563617,POINT (-63.99206924438477 1.956361651420593)
20192971436400,20192971437000,2019,297,14,36,-48.825535,-10.353204,POINT (-48.82553482055664 -10.35320377349854)
20192971436400,20192971437000,2019,297,14,36,-54.26479,-14.006983,POINT (-54.26478958129883 -14.00698280334473)
20192971436400,20192971437000,2019,297,14,36,-46.925697,-31.047546,POINT (-46.92569732666016 -31.04754638671875)
20192971436400,20192971437000,2019,297,14,36,-48.562683,-11.222914,POINT (-48.56268310546875 -11.22291374206543)
20192971436400,20192971437000,2019,297,14,36,-44.16645,-11.456957,POINT (-44.16645050048828 -11.45695686340332)
20192971436400,20192971437000,2019,297,14,36,-48.482506,-11.957029,POINT (-48.48250579833984 -11.95702934265137)
20192971436400,20192971437000,2019,297,14,36,-69.89108,16.570032,POINT (-69.89108276367188 16.57003211975098)
20192971436400,20192971437000,2019,297,14,36,-45.313854,-8.41537,POINT (-45.3138542175293 -8.415369987487793)
20192971436400,20192971437000,2019,297,14,36,-40.81426,36.560654,POINT (-40.81425857543945 36.56065368652344)
20192971436400,20192971437000,2019,297,14,36,-47.60137,-31.077572,POINT (-47.60137176513672 -31.07757186889648)
20192971436400,20192971437000,2019,297,14,36,-48.20626,-31.697409,POINT (-48.20626068115234 -31.69740867614746)
20192971436400,20192971437000,2019,297,14,36,-48.506905,-11.115621,POINT (-48.50690460205078 -11.11562061309814)
20192971436400,20192971437000,2019,297,14,36,-46.82316,-31.122341,POINT (-46.82315826416016 -31.12234115600586)
20192971436400,20192971437000,2019,297,14,36,-48.18447,-11.320791,POINT (-48.18447113037109 -11.32079124450684)
20192971436400,20192971437000,2019,297,14,36,-63.140762,0.38226333,POINT (-63.14076232910156 0.3822633326053619)
20192971436400,20192971437000,2019,297,14,36,-93.135124,20.79811,POINT (-93.13512420654297 20.79810905456543)
20192971436400,20192971437000,2019,297,14,36,-47.126934,-30.967924,POINT (-47.12693405151367 -30.96792411804199)
20192971436400,20192971437000,2019,297,14,36,-44.70771,-7.531425,POINT (-44.70771026611328 -7.531424999237061)
20192971436400,20192971437000,2019,297,14,36,-48.362465,-11.041935,POINT (-48.36246490478516 -11.04193496704102)
20192971436400,20192971437000,2019,297,14,36,-61.582268,2.176932,POINT (-61.58226776123047 2.176932096481323)
20192971436400,20192971437000,2019,297,14,36,-46.775314,-31.069908,POINT (-46.77531433105469 -31.06990814208984)
20192971436400,20192971437000,2019,297,14,36,-48.008297,-31.631418,POINT (-48.00829696655273 -31.63141822814941)
20192971436400,20192971437000,2019,297,14,36,-48.029953,-31.475563,POINT (-48.02995300292969 -31.47556304931641)
20192971436400,20192971437000,2019,297,14,36,-46.8413,-31.191526,POINT (-46.84130096435547 -31.19152641296387)
20192971436400,20192971437000,2019,297,14,36,-67.44097,-1.5447854,POINT (-67.44097137451172 -1.544785380363464)
20192971436400,20192971437000,2019,297,14,36,-67.29324,-1.7070564,POINT (-67.29324340820312 -1.707056403160095)
20192971436400,20192971437000,2019,297,14,36,-46.066235,-8.150275,POINT (-46.06623458862305 -8.150275230407715)
20192971436400,20192971437000,2019,297,14,36,-99.56974,32.56643,POINT (-99.56974029541016 32.56642913818359)
20192971436400,20192971437000,2019,297,14,36,-47.125824,-31.029976,POINT (-47.12582397460938 -31.02997589111328)
20192971437000,20192971437200,2019,297,14,37,-43.618446,-13.654151,POINT (-43.61844635009766 -13.65415096282959)
20192971437000,20192971437200,2019,297,14,37,-52.029694,-11.898953,POINT (-52.02969360351562 -11.89895343780518)
20192971437000,20192971437200,2019,297,14,37,-69.553276,18.091291,POINT (-69.55327606201172 18.0912914276123)
20192971437000,20192971437200,2019,297,14,37,-47.01372,-31.027618,POINT (-47.01372146606445 -31.02761840820312)
20192971437000,20192971437200,2019,297,14,37,-48.1303,-31.642416,POINT (-48.13029861450195 -31.64241600036621)
20192971437000,20192971437200,2019,297,14,37,-96.2483,26.071276,POINT (-96.24829864501953 26.07127571105957)
20192971437000,20192971437200,2019,297,14,37,-46.89608,-31.041945,POINT (-46.89608001708984 -31.04194450378418)
20192971437000,20192971437200,2019,297,14,37,-54.152973,-13.603145,POINT (-54.15297317504883 -13.60314464569092)
20192971437000,20192971437200,2019,297,14,37,-61.031498,1.3171711,POINT (-61.03149795532227 1.317171096801758)
20192971437000,20192971437200,2019,297,14,37,-77.27132,13.13835,POINT (-77.27131652832031 13.13834953308105)
20192971437000,20192971437200,2019,297,14,37,-47.95851,-13.357122,POINT (-47.95851135253906 -13.35712242126465)
20192971437000,20192971437200,2019,297,14,37,-100.1134,15.618441,POINT (-100.1134033203125 15.61844062805176)
20192971437000,20192971437200,2019,297,14,37,-69.245476,18.265726,POINT (-69.24547576904297 18.26572608947754)
20192971437000,20192971437200,2019,297,14,37,-46.876408,-31.105606,POINT (-46.87640762329102 -31.10560607910156)
20192971437000,20192971437200,2019,297,14,37,-45.30797,-8.270754,POINT (-45.30796813964844 -8.270753860473633)
20192971437000,20192971437200,2019,297,14,37,-46.639458,-8.563453,POINT (-46.63945770263672 -8.56345272064209)
20192971437000,20192971437200,2019,297,14,37,-51.234543,-11.914431,POINT (-51.23454284667969 -11.91443061828613)
20192971437000,20192971437200,2019,297,14,37,-52.157806,-12.591181,POINT (-52.15780639648438 -12.5911808013916)
20192971437000,20192971437200,2019,297,14,37,-46.99247,-31.084337,POINT (-46.99246978759766 -31.08433723449707)
20192971437000,20192971437200,2019,297,14,37,-61.38419,1.301852,POINT (-61.38418960571289 1.301851987838745)
20192971437000,20192971437200,2019,297,14,37,-46.859055,-31.29181,POINT (-46.85905456542969 -31.29180908203125)
20192971437000,20192971437200,2019,297,14,37,-48.19684,-31.699772,POINT (-48.19683837890625 -31.69977188110352)
20192971437000,20192971437200,2019,297,14,37,-48.57684,-12.02548,POINT (-48.57683944702148 -12.02548027038574)
20192971437000,20192971437200,2019,297,14,37,-59.187595,0.72209984,POINT (-59.18759536743164 0.7220998406410217)
20192971437000,20192971437200,2019,297,14,37,-47.562008,-31.081839,POINT (-47.56200790405273 -31.08183860778809)
20192971437000,20192971437200,2019,297,14,37,-47.072968,-31.104418,POINT (-47.07296752929688 -31.10441780090332)
20192971437000,20192971437200,2019,297,14,37,-31.559738,29.777351,POINT (-31.55973815917969 29.77735137939453)
20192971437000,20192971437200,2019,297,14,37,-31.459312,30.718298,POINT (-31.45931243896484 30.71829795837402)
20192971437000,20192971437200,2019,297,14,37,-48.208908,-11.427933,POINT (-48.20890808105469 -11.42793273925781)
20192971437000,20192971437200,2019,297,14,37,-48.259174,-11.204691,POINT (-48.25917434692383 -11.20469093322754)
20192971437000,20192971437200,2019,297,14,37,-48.474174,-11.959119,POINT (-48.47417449951172 -11.95911884307861)
20192971437000,20192971437200,2019,297,14,37,-48.228367,-11.406694,POINT (-48.22836685180664 -11.40669441223145)
20192971437000,20192971437200,2019,297,14,37,-54.423923,-13.719958,POINT (-54.42392349243164 -13.71995830535889)
20192971437000,20192971437200,2019,297,14,37,-46.872826,-31.064041,POINT (-46.87282562255859 -31.06404113769531)
20192971437000,20192971437200,2019,297,14,37,-71.9606,16.623758,POINT (-71.96060180664062 16.62375831604004)
20192971437000,20192971437200,2019,297,14,37,-63.01723,-0.58558345,POINT (-63.01723098754883 -0.5855834484100342)
20192971437000,20192971437200,2019,297,14,37,-47.5583,-31.091782,POINT (-47.55830001831055 -31.09178161621094)
20192971437000,20192971437200,2019,297,14,37,-48.738876,-13.06299,POINT (-48.73887634277344 -13.06299018859863)
20192971437000,20192971437200,2019,297,14,37,-48.856236,-12.862026,POINT (-48.85623550415039 -12.86202621459961)
20192971437000,20192971437200,2019,297,14,37,-60.54135,-0.65836287,POINT (-60.54135131835938 -0.658362865447998)
20192971437000,20192971437200,2019,297,14,37,-47.102463,-31.032673,POINT (-47.10246276855469 -31.03267288208008)
20192971437000,20192971437200,2019,297,14,37,-47.693317,-31.884378,POINT (-47.69331741333008 -31.88437843322754)
20192971437000,20192971437200,2019,297,14,37,-44.3766,-13.8233185,POINT (-44.3765983581543 -13.82331848144531)
20192971437000,20192971437200,2019,297,14,37,-48.18465,-31.658552,POINT (-48.18465042114258 -31.6585521697998)
20192971437000,20192971437200,2019,297,14,37,-44.9575,-7.8358645,POINT (-44.95750045776367 -7.835864543914795)
20192971437000,20192971437200,2019,297,14,37,-44.64101,-9.227655,POINT (-44.64101028442383 -9.227655410766602)
20192971437000,20192971437200,2019,297,14,37,-71.341064,17.471277,POINT (-71.341064453125 17.47127723693848)
20192971437000,20192971437200,2019,297,14,37,-46.880604,-31.1592,POINT (-46.8806037902832 -31.15920066833496)
20192971437000,20192971437200,2019,297,14,37,-47.55179,-31.09202,POINT (-47.55178833007812 -31.09202003479004)
20192971437000,20192971437200,2019,297,14,37,-52.22444,-12.549854,POINT (-52.22444152832031 -12.54985427856445)
20192971437000,20192971437200,2019,297,14,37,-46.84465,-31.02018,POINT (-46.84465026855469 -31.02017974853516)
