start_scan,end_scan,year,julian_day,hour,minute,flash_lon,flash_lat,geometry
CFA/2019/297/2,OR_GLM-L2-LCFA,CFA/,201,9/,29,-62.832783,-33.183437,POINT (-62.83278274536133 -33.18343734741211)
CFA/2019/297/2,OR_GLM-L2-LCFA,CFA/,201,9/,29,-69.598145,-10.919132,POINT (-69.59814453125 -10.91913223266602)
CFA/2019/297/2,OR_GLM-L2-LCFA,CFA/,201,9/,29,-70.56398,11.503944,POINT (-70.56398010253906 11.50394439697266)
CFA/2019/297/2,OR_GLM-L2-LCFA,CFA/,201,9/,29,-52.70622,-10.519873,POINT (-52.70621871948242 -10.51987266540527)
CFA/2019/297/2,OR_GLM-L2-LCFA,CFA/,201,9/,29,-53.24798,-8.598149,POINT (-53.24797821044922 -8.598149299621582)
CFA/2019/297/2,OR_GLM-L2-LCFA,CFA/,201,9/,29,-63.46003,-11.924156,POINT (-63.46002960205078 -11.92415618896484)
CFA/2019/297/2,OR_GLM-L2-LCFA,CFA/,201,9/,29,-70.34969,10.212139,POINT (-70.34969329833984 10.21213912963867)
CFA/2019/297/2,OR_GLM-L2-LCFA,CFA/,201,9/,29,-59.787888,-6.8769593,POINT (-59.78788757324219 -6.876959323883057)
CFA/2019/297/2,OR_GLM-L2-LCFA,CFA/,201,9/,29,-38.818916,24.65221,POINT (-38.81891632080078 24.6522102355957)
CFA/2019/297/2,OR_GLM-L2-LCFA,CFA/,201,9/,29,-65.46918,9.395201,POINT (-65.46917724609375 9.395200729370117)
CFA/2019/297/2,OR_GLM-L2-LCFA,CFA/,201,9/,29,-69.7182,11.15282,POINT (-69.71820068359375 11.15281963348389)
CFA/2019/297/2,OR_GLM-L2-LCFA,CFA/,201,9/,29,-103.73243,22.533989,POINT (-103.7324295043945 22.53398895263672)
CFA/2019/297/2,OR_GLM-L2-LCFA,CFA/,201,9/,29,-97.01162,34.40793,POINT (-97.01161956787109 34.40792846679688)
CFA/2019/297/2,OR_GLM-L2-LCFA,CFA/,201,9/,29,-52.33703,-10.489235,POINT (-52.33702850341797 -10.48923492431641)
