start_scan,end_scan,flash_lon,flash_lat,geometry
20192970000000,20192970000200,-86.49756,12.300559,POINT (-86.49755859375 12.30055904388428)
20192970000000,20192970000200,-73.348526,-7.55769,POINT (-73.34852600097656 -7.557690143585205)
20192970000000,20192970000200,-83.25363,22.945572,POINT (-83.25363159179688 22.94557189941406)
20192970000000,20192970000200,-74.86823,6.442832,POINT (-74.86823272705078 6.442831993103027)
20192970000000,20192970000200,-78.253654,20.264753,POINT (-78.25365447998047 20.2647533416748)
20192970000000,20192970000200,-85.254364,22.568195,POINT (-85.25436401367188 22.56819534301758)
20192970000000,20192970000200,-48.35031,-17.074846,POINT (-48.35031127929688 -17.0748462677002)
20192970000000,20192970000200,-92.33684,18.78898,POINT (-92.33683776855469 18.78898048400879)
20192970000000,20192970000200,-60.540276,-10.968394,POINT (-60.54027557373047 -10.96839427947998)
20192970000000,20192970000200,-68.785255,-10.277157,POINT (-68.78525543212891 -10.27715682983398)
20192970000000,20192970000200,-47.508812,-38.349873,POINT (-47.50881195068359 -38.34987258911133)
20192970000000,20192970000200,-67.66184,-9.05519,POINT (-67.66184234619141 -9.055190086364746)
20192970000000,20192970000200,-78.21387,20.240108,POINT (-78.2138671875 20.24010848999023)
20192970000000,20192970000200,-92.023636,14.612123,POINT (-92.02363586425781 14.61212253570557)
20192970000000,20192970000200,-67.16902,6.8502836,POINT (-67.16902160644531 6.850283622741699)
20192970000000,20192970000200,-72.883354,-9.178974,POINT (-72.88335418701172 -9.178974151611328)
20192970000000,20192970000200,-68.77409,-10.280484,POINT (-68.77409362792969 -10.28048419952393)
20192970000000,20192970000200,-85.34734,22.60895,POINT (-85.34734344482422 22.60894966125488)
20192970000000,20192970000200,-77.18357,0.19303784,POINT (-77.18357086181641 0.1930378377437592)
20192970000000,20192970000200,-55.410793,-13.911165,POINT (-55.41079330444336 -13.91116523742676)
20192970000000,20192970000200,-69.669106,17.563637,POINT (-69.66910552978516 17.56363677978516)
20192970000000,20192970000200,-75.02197,6.2509866,POINT (-75.02197265625 6.250986576080322)
20192970000000,20192970000200,-47.93226,-17.13327,POINT (-47.93225860595703 -17.13327026367188)
20192970000000,20192970000200,-78.79604,20.677711,POINT (-78.79604339599609 20.67771148681641)
20192970000000,20192970000200,-92.3626,14.92955,POINT (-92.36260223388672 14.92955017089844)
20192970000000,20192970000200,-62.31058,-15.4706,POINT (-62.31058120727539 -15.47060012817383)
20192970000000,20192970000200,-47.26656,-13.825515,POINT (-47.26655960083008 -13.825514793396)
20192970000000,20192970000200,-83.19891,22.973858,POINT (-83.19891357421875 22.97385787963867)
20192970000000,20192970000200,-101.09672,19.602488,POINT (-101.0967178344727 19.60248756408691)
20192970000000,20192970000200,-45.366867,-15.6680355,POINT (-45.36686706542969 -15.66803550720215)
20192970000000,20192970000200,-60.606808,-10.982799,POINT (-60.60680770874023 -10.98279857635498)
20192970000000,20192970000200,-61.483532,-4.7182584,POINT (-61.4835319519043 -4.718258380889893)
20192970000000,20192970000200,-78.7322,20.836416,POINT (-78.73220062255859 20.83641624450684)
20192970000000,20192970000200,-70.01736,17.136187,POINT (-70.01735687255859 17.13618659973145)
20192970000000,20192970000200,-67.72014,10.368093,POINT (-67.72013854980469 10.36809253692627)
20192970000000,20192970000200,-60.72318,6.7172117,POINT (-60.72317886352539 6.717211723327637)
20192970000000,20192970000200,-99.1395,17.079437,POINT (-99.13950347900391 17.07943725585938)
20192970000000,20192970000200,-60.55831,-11.043126,POINT (-60.55831146240234 -11.04312610626221)
20192970000000,20192970000200,-55.231674,-13.799687,POINT (-55.23167419433594 -13.79968738555908)
20192970000000,20192970000200,-61.339294,-10.660115,POINT (-61.33929443359375 -10.66011524200439)
20192970000000,20192970000200,-106.65821,24.345968,POINT (-106.6582107543945 24.34596824645996)
20192970000000,20192970000200,-129.69542,-19.303192,POINT (-129.6954193115234 -19.30319213867188)
20192970000000,20192970000200,-87.14055,22.808872,POINT (-87.14054870605469 22.80887222290039)
20192970000000,20192970000200,-129.85995,-19.035461,POINT (-129.8599548339844 -19.03546142578125)
20192970000000,20192970000200,-67.38866,6.7392836,POINT (-67.38865661621094 6.739283561706543)
20192970000000,20192970000200,-85.389824,22.45237,POINT (-85.38982391357422 22.45236968994141)
20192970000000,20192970000200,-87.16862,13.27494,POINT (-87.16861724853516 13.27493953704834)
20192970000000,20192970000200,-100.96411,19.575874,POINT (-100.964111328125 19.57587432861328)
20192970000000,20192970000200,-52.043587,-10.542941,POINT (-52.04358673095703 -10.54294109344482)
20192970000000,20192970000200,-66.148544,6.0098743,POINT (-66.14854431152344 6.00987434387207)
20192970000000,20192970000200,-83.19759,22.959455,POINT (-83.19759368896484 22.9594554901123)
20192970000000,20192970000200,-78.77783,20.74951,POINT (-78.77783203125 20.74950981140137)
20192970000000,20192970000200,-61.811127,-4.5146046,POINT (-61.81112670898438 -4.514604568481445)
20192970000000,20192970000200,-56.36665,-12.59481,POINT (-56.36664962768555 -12.59480953216553)
20192970000000,20192970000200,-85.15175,22.469137,POINT (-85.15174865722656 22.46913719177246)
20192970000000,20192970000200,-49.46329,-14.075057,POINT (-49.46329116821289 -14.07505702972412)
20192970000000,20192970000200,-78.71899,20.705914,POINT (-78.71898651123047 20.70591354370117)
20192970000000,20192970000200,-56.66119,-8.130898,POINT (-56.66119003295898 -8.130898475646973)
20192970000000,20192970000200,-68.737076,-10.354317,POINT (-68.73707580566406 -10.35431671142578)
20192970000000,20192970000200,-92.96818,18.417406,POINT (-92.96817779541016 18.41740608215332)
20192970000000,20192970000200,-50.355587,-16.830067,POINT (-50.35558700561523 -16.8300666809082)
20192970000000,20192970000200,-86.025276,22.770548,POINT (-86.02527618408203 22.77054786682129)
20192970000000,20192970000200,-78.34866,20.240253,POINT (-78.34866333007812 20.24025344848633)
20192970000000,20192970000200,-83.20349,22.970995,POINT (-83.2034912109375 22.97099494934082)
20192970000000,20192970000200,-92.21997,14.853098,POINT (-92.219970703125 14.85309791564941)
20192970000000,20192970000200,-78.65258,20.785799,POINT (-78.65258026123047 20.78579902648926)
20192970000000,20192970000200,-66.771645,16.680521,POINT (-66.77164459228516 16.68052101135254)
20192970000000,20192970000200,-70.11265,17.24976,POINT (-70.11264801025391 17.24975967407227)
20192970000000,20192970000200,-61.92742,-3.660996,POINT (-61.92742156982422 -3.660995960235596)
20192970000000,20192970000200,-78.6799,-4.580057,POINT (-78.67990112304688 -4.580057144165039)
20192970000000,20192970000200,-72.228195,5.536891,POINT (-72.22819519042969 5.536890983581543)
20192970000000,20192970000200,-104.79643,19.81803,POINT (-104.7964324951172 19.81802940368652)
20192970000000,20192970000200,-50.11571,-16.872063,POINT (-50.1157112121582 -16.87206268310547)
20192970000000,20192970000200,-90.71538,20.048307,POINT (-90.71537780761719 20.04830741882324)
20192970000000,20192970000200,-83.11062,22.898193,POINT (-83.11061859130859 22.898193359375)
20192970000000,20192970000200,-78.7758,20.8669,POINT (-78.77580261230469 20.86689949035645)
20192970000000,20192970000200,-61.830685,-7.3792896,POINT (-61.83068466186523 -7.379289627075195)
20192970000000,20192970000200,-59.4168,-4.751404,POINT (-59.41680145263672 -4.75140380859375)
20192970000000,20192970000200,-62.428005,-15.468535,POINT (-62.42800521850586 -15.46853542327881)
20192970000000,20192970000200,-60.64023,-10.853063,POINT (-60.64022827148438 -10.85306262969971)
20192970000000,20192970000200,-67.57195,2.9353213,POINT (-67.57195281982422 2.93532133102417)
20192970000000,20192970000200,-85.34366,22.548222,POINT (-85.34365844726562 22.54822158813477)
20192970000000,20192970000200,-67.77948,2.0999548,POINT (-67.77947998046875 2.099954843521118)
20192970000000,20192970000200,-52.100815,-10.610287,POINT (-52.10081481933594 -10.61028671264648)
20192970000000,20192970000200,-87.65611,14.169716,POINT (-87.65611267089844 14.16971588134766)
20192970000000,20192970000200,-78.45548,19.72582,POINT (-78.45548248291016 19.72582054138184)
20192970000000,20192970000200,-100.395546,19.418505,POINT (-100.3955459594727 19.41850471496582)
20192970000000,20192970000200,-78.26321,20.427622,POINT (-78.26320648193359 20.42762184143066)
20192970000000,20192970000200,-62.315334,-15.686422,POINT (-62.31533432006836 -15.68642234802246)
20192970000000,20192970000200,-74.01673,5.7529554,POINT (-74.01673126220703 5.752955436706543)
20192970000000,20192970000200,-70.91598,10.31532,POINT (-70.91597747802734 10.31532001495361)
20192970000000,20192970000200,-105.60577,24.744434,POINT (-105.6057662963867 24.74443435668945)
20192970000000,20192970000200,-83.25111,22.922094,POINT (-83.25110626220703 22.92209434509277)
