start_scan,end_scan,year,julian_day,hour,minute,state,min,mean,std,max,timestamp
20193382020197,20193382029516,2019,338,20,20,ACRE,254.43780517578125,293.6321716308594,4.398863792419434,297.76239013671875,1575501600
20193382020197,20193382029516,2019,338,20,20,ALAGOAS,228.811767578125,270.01812744140625,13.947870254516602,293.21484375,1575501600
20193382020197,20193382029516,2019,338,20,20,AMAZONAS,192.431396484375,282.66363525390625,18.147207260131836,298.31549072265625,1575501600
20193382020197,20193382029516,2019,338,20,20,AMAPA,274.1028747558594,293.9928283691406,1.4826496839523315,297.5165710449219,1575501600
20193382020197,20193382029516,2019,338,20,20,BAHIA,210.7445068359375,271.05023193359375,21.805217742919922,293.8293762207031,1575501600
20193382020197,20193382029516,2019,338,20,20,CEARA,218.91778564453125,273.335693359375,17.764362335205078,293.0919494628906,1575501600
20193382020197,20193382029516,2019,338,20,20,DISTRITO FEDERAL,284.91864013671875,290.4944152832031,2.23264217376709,293.21484375,1575501600
20193382020197,20193382029516,2019,338,20,20,ESPIRITO SANTO,280.2481994628906,288.8715515136719,2.3436410427093506,292.1701354980469,1575501600
20193382020197,20193382029516,2019,338,20,20,GOIAS,258.6781005859375,292.1511535644531,2.337899684906006,294.87408447265625,1575501600
20193382020197,20193382029516,2019,338,20,20,MARANHAO,204.844970703125,264.11212158203125,25.353914260864258,294.6897277832031,1575501600
20193382020197,20193382029516,2019,338,20,20,MINAS GERAIS,217.07418823242188,289.48681640625,5.682102680206299,294.6282653808594,1575501600
20193382020197,20193382029516,2019,338,20,20,MATO GROSSO DO SUL,278.6504211425781,290.7593688964844,4.055180072784424,295.6729736328125,1575501600
20193382020197,20193382029516,2019,338,20,20,MATO GROSSO,207.856201171875,283.2221984863281,18.852745056152344,296.4104309082031,1575501600
20193382020197,20193382029516,2019,338,20,20,PARA,204.844970703125,276.826171875,22.15256118774414,296.1031494140625,1575501600
20193382020197,20193382029516,2019,338,20,20,PARAIBA,218.91778564453125,281.2918701171875,17.072250366210938,292.9690246582031,1575501600
20193382020197,20193382029516,2019,338,20,20,PERNAMBUCO,208.5936279296875,274.1690979003906,19.7839412689209,293.9523010253906,1575501600
20193382020197,20193382029516,2019,338,20,20,PIAUI,210.19140625,263.1222839355469,21.56949234008789,293.8293762207031,1575501600
20193382020197,20193382029516,2019,338,20,20,PARANA,237.66104125976562,289.7723083496094,5.570659637451172,294.01373291015625,1575501600
20193382020197,20193382029516,2019,338,20,20,RIO DE JANEIRO,254.069091796875,286.4476318359375,3.651947259902954,292.10870361328125,1575501600
20193382020197,20193382029516,2019,338,20,20,RIO GRANDE DO NORTE,208.5936279296875,265.5357971191406,22.522668838500977,292.53887939453125,1575501600
20193382020197,20193382029516,2019,338,20,20,RONDONIA,262.1809387207031,293.5151062011719,4.037873268127441,297.1478576660156,1575501600
20193382020197,20193382029516,2019,338,20,20,RORAIMA,192.431396484375,275.29144287109375,24.852149963378906,297.1478576660156,1575501600
20193382020197,20193382029516,2019,338,20,20,RIO GRANDE DO SUL,238.58285522460938,289.324951171875,3.3286097049713135,293.21484375,1575501600
20193382020197,20193382029516,2019,338,20,20,SANTA CATARINA,283.01361083984375,291.1904296875,1.6227352619171143,293.21484375,1575501600
20193382020197,20193382029516,2019,338,20,20,SERGIPE,226.3536376953125,277.482666015625,14.024148941040039,292.53887939453125,1575501600
20193382020197,20193382029516,2019,338,20,20,SAO PAULO,229.73358154296875,287.6650695800781,6.66862154006958,294.2595520019531,1575501600
20193382020197,20193382029516,2019,338,20,20,TOCANTINS,204.844970703125,257.03179931640625,24.89876937866211,294.1981201171875,1575501600
